Last inventory,Operating system,RAM (MB),CPU (MHz),CPU type,CPU number,Setor,RAM_GB,CPU_Family,Cores_per_CPU,Total_Cores,Machine_Profile,Impacto_Operacional,Custo_Upgrade_BRL
2/18/2026 7:50,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,RH,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/18/2026 12:58,Microsoft Windows 11 Pro,16384,2000,AMD Ryzen 7 7730U with Radeon Graphics [8 core(s) x86_64],1,Contabilidade,16.0,Ryzen 7,8,8,Desktop,Baixo,0
2/18/2026 22:21,Microsoft Windows 11 Pro,16384,1600,13th Gen Intel(R) Core(TM) i5-13500T [14 core(s) x86_64],1,Operação,16.0,Core i5,14,14,Desktop,Médio,0
2/19/2026 7:14,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Jurídico,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/19/2026 8:13,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/19/2026 9:24,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Marketing,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/19/2026 10:22,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,Operação,16.0,Core i5,10,10,Notebook,Médio,0
2/19/2026 11:14,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/19/2026 12:14,Microsoft Windows 11 Pro,32768,2300,12th Gen Intel(R) Core(TM) i7-12700H [14 core(s) x86_64],1,Operação,32.0,Core i7,14,14,Notebook,Baixo,0
2/19/2026 13:33,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/19/2026 15:54,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,Operação,16.0,Core i7,10,10,Notebook,Baixo,0
2/19/2026 17:11,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Jurídico,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/19/2026 20:37,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/19/2026 20:55,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Comercial,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/19/2026 22:51,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/20/2026 0:31,Microsoft Windows 11 Pro,8192,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/20/2026 1:51,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,RH,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
